EA_REGION,BW_ref,Name,de_des_yr,bb_xmax,bb_xmin,bb_ymax,bb_ymin,_zmax,_zmin
SW,19150,Bournemouth Durley Chine,,408367.7825410636,407736.5481111547,90517.46092440002,90188.90611150116,0,0
SW,19160,Bournemouth Alum Chine,,407768.4407944577,407152.25008308794,90286.38940763287,89903.6772079952,0,0
SW,19170,Poole Branksome Chine,,407217.0649666209,406159.7160698036,89989.59758557379,89288.24052838981,0,0
SW,19190,Poole Canford Cliffs Chine,,406235.87352803163,405435.75173937064,89373.25350501575,88650.69107924588,0,0
SW,19200,Poole Shore Road Beach,,405523.4301311672,404750.9124088641,88733.63009850867,87897.13084705919,0,0
SW,19350,Poole Sandbanks Peninsular,,404875.32093776297,404158.7278113058,87949.5009135101,87108.73622678407,0,0
SW,19400,Poole Harbour Lake,,398331.8549278872,397954.9121465301,90612.2840870507,90310.7298619654,0,0
SW,19450,Poole Harbour Rockley Sands,,397466.8514412269,396944.4172378434,91618.60661317036,90637.73425449245,0,0
SW,19600,Shell Bay North,,404083.84572533984,403630.761711522,86818.68662797846,86086.92750942893,0,0
SW,19700,Studland Knoll House,,403775.54500902817,403411.68082936015,84078.28882659972,82999.97600218095,0,0
SW,19800,Swanage Central,,404337.5129245855,402662.5334106693,79945.6887132898,78433.59193958901,0,0
SW,19900,Kimmeridge Bay,,390949.83239270374,390245.96849458944,79224.52637636848,78648.09082965739,0,0
SW,20000,Lulworth Cove,,382854.832223149,382420.47829694767,79998.17945830338,79694.61165905558,0,0
SW,20100,Durdle Door East,,381217.6480338607,380604.62592855206,80494.0828919679,80073.72477654883,0,0
SW,20200,Durdle Door West,,380548.8407359002,379852.9290977968,80391.02884435654,80186.27933178656,0,0
SW,20300,Ringstead Bay,,375738.20062391367,374655.4056726713,81627.1305929739,81189.37866115756,0,0
SW,20400,Bowleaze Cove,,370963.70707349014,369875.47982856445,81947.32038949057,81607.99134857394,0,0
SW,20500,Church Ope Cove,,370031.2175230477,369525.7305601379,71066.60056657717,70531.57215778157,0,0
SW,20600,Weymouth Lodmoor,,369279.841543708,368510.5215941621,81169.31103180349,80272.31119172275,0,0
SW,20700,Weymouth Central,,368455.93517945614,368071.03854305204,79918.27860397473,78864.5993043147,0,0
SW,20800,Portland Harbour Castle Cove,,367711.83424279187,367520.76244851016,77667.35452329554,77433.82233028486,0,0
SW,20900,Portland Harbour Sandsfoot Castle,,367638.2362183258,367229.2010439029,77411.17678429559,77079.9856742043,0,0
SW,20970,Hive,,349490.3570354162,348482.15323252603,89007.8057811819,88368.72577497736,0,0
SW,21000,West Bay (West),,346348.2726100562,345379.10773406643,90687.63935637288,90080.36806692183,0,0
SW,21100,Eypemouth,,345331.1233040113,344267.9839474233,91305.9746867586,90625.13736065477,0,0
SW,21200,Seatown,,342342.7623947859,341452.19339208864,91820.57615929283,91402.89193695225,0,0
SW,21300,Charmouth West,,336590.00405224506,335755.3363043545,93082.32370539941,92860.62299831212,0,0
SW,21500,Lyme Regis Front Beach,,334265.0179491928,333823.0438650865,92110.25043150224,91333.8977614753,0,0
SW,21600,Seaton (Devon),,325344.9598495951,324107.3628196204,90259.39073228836,89598.68156090565,0,0
